"","occupation","Category","n","c","pc","pc_all","pc_occupation"
"1","Carpenter","General Carpentry",54,4,7.41,7.17,7.27
"2","Carpenter","Custom Cabinet Building",19,2,10.53,7.17,7.27
"3","Carpenter","Finish Carpentry",3,0,0,7.17,7.27
"4","Carpenter","Deck or Porch Remodel or Addition",34,2,5.88,7.17,7.27
"5","Cleaner","Upholstery and Furniture Cleaning",11,0,0,7.17,11.66
"6","Cleaner","Carpet Cleaning",63,6,9.52,7.17,11.66
"7","Cleaner","Home Organizing",4,0,0,7.17,11.66
"8","Cleaner","Pressure Washing",18,3,16.67,7.17,11.66
"9","Cleaner","Gutter Cleaning and Maintenance",26,2,7.69,7.17,11.66
"10","Cleaner","House Cleaning",204,27,13.24,7.17,11.66
"11","Drywall Specialist","Drywall Installation and Hanging",33,2,6.06,7.17,6.98
"12","Drywall Specialist","Drywall Repair and Texturing",10,1,10,7.17,6.98
"13","Electrician","Fan Installation",2,1,50,7.17,9
"14","Electrician","Switch and Outlet Installation",5,1,20,7.17,9
"15","Electrician","Lighting Installation",12,0,0,7.17,9
"16","Electrician","Electrical and Wiring Repair",244,25,10.25,7.17,9
"17","Electrician","Wiring Installation",48,1,2.08,7.17,9
"18","Engineer and Technical Designer","Architectural Services",94,1,1.06,7.17,1.06
"19","Floor, Carpet, and Tile Specialist","Tile Installation and Replacement",70,7,10,7.17,9.91
"20","Floor, Carpet, and Tile Specialist","Floor Installation or Replacement",108,14,12.96,7.17,9.91
"21","Floor, Carpet, and Tile Specialist","Epoxy Floor Coating",6,0,0,7.17,9.91
"22","Floor, Carpet, and Tile Specialist","Countertop Installation",21,2,9.52,7.17,9.91
"23","Floor, Carpet, and Tile Specialist","Hardwood Floor Refinishing",17,0,0,7.17,9.91
"24","Floor, Carpet, and Tile Specialist","Carpet Installation",10,0,0,7.17,9.91
"25","Furniture Service Specialist","Furniture Repair",4,1,25,7.17,16.67
"26","Furniture Service Specialist","Furniture Upholstery",2,0,0,7.17,16.67
"27","General Contractor","Home Remodeling",117,6,5.13,7.17,5.56
"28","General Contractor","Basement Finishing or Remodeling",3,0,0,7.17,5.56
"29","General Contractor","General Contracting",487,30,6.16,7.17,5.56
"30","General Contractor","Bathroom Remodel",112,4,3.57,7.17,5.56
"31","General Contractor","Kitchen Remodel",18,1,5.56,7.17,5.56
"32","Gutter Specialist","Gutter Installation or Replacement",3,0,0,7.17,0
"33","Handyman","Window Installation",31,2,6.45,7.17,7.45
"34","Handyman","Door Repair",13,0,0,7.17,7.45
"35","Handyman","Garage Door Repair",6,1,16.67,7.17,7.45
"36","Handyman","Window Treatment Installation or Repair",1,0,0,7.17,7.45
"37","Handyman","Furniture Assembly",2,0,0,7.17,7.45
"38","Handyman","Appliance Repair or Maintenance",37,3,8.11,7.17,7.45
"39","Handyman","Handyman",132,13,9.85,7.17,7.45
"40","Handyman","Window Repair",13,0,0,7.17,7.45
"41","Handyman","Door Installation",12,0,0,7.17,7.45
"42","Handyman","Trim or Molding Installation",8,0,0,7.17,7.45
"43","Home Electronics Specialist","TV Mounting",7,1,14.29,7.17,4
"44","Home Electronics Specialist","Home Theater System Installation or Replacement",12,0,0,7.17,4
"45","Home Electronics Specialist","Home Security and Alarms Install",6,0,0,7.17,4
"46","HVAC Specialist","Heating System Repair or Maintenance",103,7,6.8,7.17,5.2
"47","HVAC Specialist","Duct and Vent Cleaning",13,0,0,7.17,5.2
"48","HVAC Specialist","Heating System Installation or Replacement",5,0,0,7.17,5.2
"49","HVAC Specialist","Fireplace and Chimney Cleaning or Repair",4,0,0,7.17,5.2
"50","HVAC Specialist","Fireplace and Chimney Installation",1,0,0,7.17,5.2
"51","HVAC Specialist","Central Air Conditioning Repair or Maintenance",18,1,5.56,7.17,5.2
"52","HVAC Specialist","Central Air Conditioning Installation or Replacement",106,5,4.72,7.17,5.2
"53","Inspector and Restorer","Mold Inspection and Removal",32,6,18.75,7.17,18.75
"54","Interior Designer","Home Staging",1,1,100,7.17,100
"55","Landscaper","Sprinkler and Irrigation System Repair and Maintenance",3,1,33.33,7.17,8.93
"56","Landscaper","Weeding",17,0,0,7.17,8.93
"57","Landscaper","Artificial Turf Installation",16,1,6.25,7.17,8.93
"58","Landscaper","Outdoor Landscaping and Design",186,18,9.68,7.17,8.93
"59","Landscaper","Lawn Mowing and Trimming",36,4,11.11,7.17,8.93
"60","Landscaper","Fence and Gate Installation",73,6,8.22,7.17,8.93
"61","Landscaper","Snow Plowing",2,0,0,7.17,8.93
"62","Landscaper","Tree Trimming and Removal",116,12,10.34,7.17,8.93
"63","Landscaper","Fence and Gate Repairs",7,2,28.57,7.17,8.93
"64","Landscaper","Sprinkler and Irrigation System Installation",1,0,0,7.17,8.93
"65","Landscaper","Patio Remodel or Addition",4,0,0,7.17,8.93
"66","Landscaper","Full Service Lawn Care",115,8,6.96,7.17,8.93
"67","Landscaper","Sod Installation",5,0,0,7.17,8.93
"68","Landscaper","Gardening",1,0,0,7.17,8.93
"69","Locksmith","Lock Installation and Repair",37,3,8.11,7.17,8.11
"70","Mason","Masonry Construction Services",30,0,0,7.17,0
"71","Mason","Brick or Stone Repair",4,0,0,7.17,0
"72","Metalworker","Metalwork",1,0,0,7.17,0
"73","Mover","Furniture Moving and Heavy Lifting",7,0,0,7.17,4.49
"74","Mover","Junk Removal",56,3,5.36,7.17,4.49
"75","Mover","Local Moving (under 50 miles)",11,1,9.09,7.17,4.49
"76","Mover","Long Distance Moving",15,0,0,7.17,4.49
"77","Painter","Wallpaper Installation or Repair",8,0,0,7.17,1.65
"78","Painter","Exterior Painting",64,2,3.12,7.17,1.65
"79","Painter","Interior Painting",110,1,0.91,7.17,1.65
"80","Paver","Asphalt Installation",15,1,6.67,7.17,5.74
"81","Paver","Concrete Installation",87,5,5.75,7.17,5.74
"82","Paver","Concrete Repair and Maintenance",20,1,5,7.17,5.74
"83","Pest Control Specialist","Bed Bug Extermination",10,0,0,7.17,9.46
"84","Pest Control Specialist","Pest Control Services",59,5,8.47,7.17,9.46
"85","Pest Control Specialist","Termite Control Services",5,2,40,7.17,9.46
"86","Plumber","Plumbing Drain Repair",42,1,2.38,7.17,4.04
"87","Plumber","Plumbing Pipe Installation or Replacement",1,0,0,7.17,4.04
"88","Plumber","Water Heater Repair or Maintenance",1,0,0,7.17,4.04
"89","Plumber","Plumbing Pipe Repair",54,3,5.56,7.17,4.04
"90","Plumber","Water Heater Installation or Replacement",1,0,0,7.17,4.04
"91","Pool and Spa Specialist","In-Ground Swimming Pool Construction",9,1,11.11,7.17,4
"92","Pool and Spa Specialist","Swimming Pool Repair",15,0,0,7.17,4
"93","Pool and Spa Specialist","Swimming Pool Cleaning, Maintenance, and Inspection",1,0,0,7.17,4
"94","Real Estate Professional","Property Management",40,3,7.5,7.17,7.5
"95","Roofer and Sider","Solar Panel Installation and Repair",1,0,0,7.17,6.45
"96","Roofer and Sider","Roof Repair or Maintenance",50,4,8,7.17,6.45
"97","Roofer and Sider","Roof Installation or Replacement",70,4,5.71,7.17,6.45
"98","Roofer and Sider","Siding Installation",3,0,0,7.17,6.45
