conversion_rate,occupation,Id,business,Market_Rank,Biz_Street_Number_and_Name,Alt_BizPhone,Search_Location,Enriched_by,Date_Prospected,Prospected_by,Google_Search_Link,Stand_Alone_Website,Google_Search_Side_Profile__Y_N_,Google___of_Reviews,Google_Avg_Rating,Google_Lastest_Review__XXX_months_ago_,Angie_s_Search_Link,Angi_s_Profile_Link,Angi_s___of_Reviews,Angi_s_Avg_Rating,Angi_Lastest_Review_Date,Home_Advisor_Search_Link,HA_Profile_Link,HA___of_Reviews,HA_Avg_Rating,HA_Lastest_Review_Date,Yelp_Search_Link,Yelp_Profile_Link,Yelp___of_Reviews,Yelp___of_Reviews__that_are_not_recommended_,Yelp_Avg_Rating,Yelp__Lastest_Review_Date,Facebook_Search_Link,FB_URL,FB___of_Reviews,FB_Avg_Rating,FB_Latest_Review_Date,FB_Page_Likes,FB_Page_Follows,Instagram_Search_Link,IG_URL,IG_Follows,Month_Released,Occurence_in_MHF__Last_5_mos_,Month,Category,State,City,PostalCode,Phone,Email,DateAdded,sales_outcome,sales_outcome_date_mt,outcome_number_of_attempts,lead_status,lead_number_of_attempts,lead_converted_time,opportunity_id,opportunity_stage,opp_lead_pro_user_pk
0.0634,"Floor, Carpet, and Tile Specialist",00Q3q00001Zv8JpEAJ,2L Construction and Design,,2145 Franklin St.,,HomeAdvisor,Nhejy Chua,3/8/2022,Nhejy Chua,"www.google.com/search?q=2L Construction and Design in Denver, CO",,false,,,,"www.google.com/search?q=2L Construction and Design in Denver, CO site:angi.com",,,,,"www.google.com/search?q=2L Construction and Design in Denver, CO site:homeadvisor.com",https://www.homeadvisor.com/rated.2LConstructionandDesign.111123967.html,,,,"www.google.com/search?q=2L Construction and Design in Denver, CO site:yelp.com",,,,,,"www.google.com/search?q=2L Construction and Design in Denver, CO site:facebook.com",,,,,,,"www.google.com/search?q=2L Construction and Design Denver, CO Instagram",,,,,March 2022,Tile Installation and Replacement,CO,Denver,,7203660874,,2022-03-10,Connection,2022-03-23,2,Unsuccessful,2,,,,
0.0311,General Contractor,00Q3q00001ZwlN1EAJ,All American Residential and Commercial Construction,,"23025 N. 15th Ave. Suite 101, Phoenix, AZ",,HomeAdvisor,Ruby Rachel de Castro,3/9/2022,Ruby Rachel de Castro,"www.google.com/search?q=All American Residential and Commercial Construction in Phoenix, AZ",,false,,,,"www.google.com/search?q=All American Residential and Commercial Construction in Phoenix, AZ site:angi.com",,,,,"www.google.com/search?q=All American Residential and Commercial Construction in Phoenix, AZ site:homeadvisor.com",https://www.homeadvisor.com/sp/all-american-residential-and-commercial-construction,,,,"www.google.com/search?q=All American Residential and Commercial Construction in Phoenix, AZ site:yelp.com",https://www.yelp.com/biz/all-american-residential-and-commercial-construction-phoenix,,,,,"www.google.com/search?q=All American Residential and Commercial Construction in Phoenix, AZ site:facebook.com",,,,,,,"www.google.com/search?q=All American Residential and Commercial Construction Phoenix, AZ Instagram",,,,,March 2022,Home Remodeling,AZ,Phoenix,85027,6022967430,,2022-03-10,Attempt,2022-04-06,1,Unsuccessful,1,,,,
0.0311,General Contractor,00Q3q00001Zv8SIEAZ,SMS Enterprises,,"6122 Fairview Forest Dr., Houston , TX 77088",,HomeAdvisor,Sheryl Reyes,3/7/2022,Sheryl Reyes,"www.google.com/search?q=SMS Enterprises in Houston, TX",,false,,,,"www.google.com/search?q=SMS Enterprises in Houston, TX site:angi.com",,,,,"www.google.com/search?q=SMS Enterprises in Houston, TX site:homeadvisor.com",https://www.homeadvisor.com/rated.SMSEnterprises.19232334.html,11,5.0,2021-12-26,"www.google.com/search?q=SMS Enterprises in Houston, TX site:yelp.com",https://www.yelp.com/biz/sms-enterprises-houston,1,,1.0,2020-07-27,"www.google.com/search?q=SMS Enterprises in Houston, TX site:facebook.com",,,,,,,"www.google.com/search?q=SMS Enterprises Houston, TX Instagram",,,,,March 2022,General Contracting,TX,Houston,,8322661356,,2022-03-10,Attempt,2022-03-14,1,Unsuccessful,1,,,,
0.0311,General Contractor,00Q3q00001Zv87LEAR,Randy Peterson Construction,,"24600 S. Hunter Rd. Peculiar, MO 
",,HomeAdvisor,Sheryl Reyes,3/7/2022,Sheryl Reyes,"www.google.com/search?q=Randy Peterson Construction in Kansas City, MO",,false,,,,"www.google.com/search?q=Randy Peterson Construction in Kansas City, MO site:angi.com",,,,,"www.google.com/search?q=Randy Peterson Construction in Kansas City, MO site:homeadvisor.com",https://www.homeadvisor.com/rated.RandyPeterson.89395141.html,1,5.0,2019-07-24,"www.google.com/search?q=Randy Peterson Construction in Kansas City, MO site:yelp.com",,,,,,"www.google.com/search?q=Randy Peterson Construction in Kansas City, MO site:facebook.com",,,,,,,"www.google.com/search?q=Randy Peterson Construction Kansas City, MO Instagram",,,,,March 2022,General Contracting,MO,Kansas City,,8167389407,,2022-03-10,Connection,2022-03-22,1,Unsuccessful,1,,,,
0.0311,General Contractor,00Q3q00001Zv8SkEAJ,JAG Design & Build,,"7415 Southwest Pkwy, Ste 6-500 #110 Austin TX

""",,HomeAdvisor,Sheryl Reyes,3/9/2022,Sheryl Reyes,"www.google.com/search?q=JAG Design & Build in Austin, TX",https://www.jagdesignandbuild.com/contact,false,,,,"www.google.com/search?q=JAG Design & Build in Austin, TX site:angi.com",,,,,"www.google.com/search?q=JAG Design & Build in Austin, TX site:homeadvisor.com",https://www.homeadvisor.com/rated.FOURSTARBuilderAustin.110387607.html,1,5.0,2021-01-23,"www.google.com/search?q=JAG Design & Build in Austin, TX site:yelp.com",https://www.yelp.com/biz/jag-design-and-build-no-title,,,,,"www.google.com/search?q=JAG Design & Build in Austin, TX site:facebook.com",https://www.facebook.com/profile.php?id=100073204699788,,,,,5,"www.google.com/search?q=JAG Design & Build Austin, TX Instagram",,,,,March 2022,General Contracting,TX,Austin,,2103833514,andrew@jagdesignandbuild.com,2022-03-11,Pitch,2022-03-27,2,Unsuccessful,2,,,,
0.0569,Electrician,00Q3q00001Zv8EnEAJ,"JN'L Electric, Inc.",,4127 Hollister Suite N,,HomeAdvisor,Karla Bagalay,3/9/2022,Karla Bagalay,"www.google.com/search?q=JN'L Electric, Inc. in Houston, TX",https://www.jnlelectric.com/,true,18,5.0,12.0,"www.google.com/search?q=JN'L Electric, Inc. in Houston, TX site:angi.com",,,,,"www.google.com/search?q=JN'L Electric, Inc. in Houston, TX site:homeadvisor.com",https://www.homeadvisor.com/rated.JNLElectricInc.40104057.html,8,4.8,2019-11-06,"www.google.com/search?q=JN'L Electric, Inc. in Houston, TX site:yelp.com",https://www.yelp.com/biz/jnl-electric-houston,15,27,4.5,2020-08-27,"www.google.com/search?q=JN'L Electric, Inc. in Houston, TX site:facebook.com",https://www.facebook.com/WeAreElectricalContractors/,16,5.0,2022-01-17,451,454,"www.google.com/search?q=JN'L Electric, Inc. Houston, TX Instagram",,,,,March 2022,Electrical and Wiring Repair,TX,Houston,,7134600605,admin@jnlelectric.com,2022-03-11,Connection,2022-03-23,2,Unsuccessful,2,,,,
0.0428,Handyman,00Q3q00001Zv8OjEAJ,A Plus Garage Doors,,6000 Fairview Rd Ste 1200,,HomeAdvisor,Karla Bagalay,3/8/2022,Karla Bagalay,"www.google.com/search?q=A Plus Garage Doors in Charlotte, NC",https://aplusdoors.com/,false,,,,"www.google.com/search?q=A Plus Garage Doors in Charlotte, NC site:angi.com",https://www.angi.com/companylist/us/nc/charlotte/a-plus-garage-doors-reviews-2342320.htm,22,4.8,2017-09-06,"www.google.com/search?q=A Plus Garage Doors in Charlotte, NC site:homeadvisor.com",https://www.homeadvisor.com/sp/aplus-garage-doors-concord-nc,,,,"www.google.com/search?q=A Plus Garage Doors in Charlotte, NC site:yelp.com",https://www.yelp.com/biz/a-plus-garage-doors-charlotte,3,6,3.5,2019-01-27,"www.google.com/search?q=A Plus Garage Doors in Charlotte, NC site:facebook.com",https://www.facebook.com/APlusDoorsNC,,,,299,313,"www.google.com/search?q=A Plus Garage Doors Charlotte, NC Instagram",https://www.instagram.com/aplusdoorsnc/,211,,,March 2022,Garage Door Repair,NC,Charlotte,,7044361025,aplusdoors@aplusdoors.com,2022-03-10,Connection,2022-03-23,4,Unsuccessful,4,,,,
0.0349,Cleaner,00Q3q00001Zwl5oEAB,"Honor & Integrity Maintenance Service, LLC",,8624 Redstone Street Littleton,,HomeAdvisor,Nhejy Chua,3/15/2022,Nhejy Chua,"www.google.com/search?q=Honor & Integrity Maintenance Service, LLC in Denver, CO",,true,,,,"www.google.com/search?q=Honor & Integrity Maintenance Service, LLC in Denver, CO site:angi.com",,,,,"www.google.com/search?q=Honor & Integrity Maintenance Service, LLC in Denver, CO site:homeadvisor.com",https://www.homeadvisor.com/rated.HonorIntegrity.76856354.html,26,5.0,2020-12-02,"www.google.com/search?q=Honor & Integrity Maintenance Service, LLC in Denver, CO site:yelp.com",https://www.yelp.com/biz/honor-and-integrity-maintenance-service-littleton,,,,,"www.google.com/search?q=Honor & Integrity Maintenance Service, LLC in Denver, CO site:facebook.com",,,,,,,"www.google.com/search?q=Honor & Integrity Maintenance Service, LLC Denver, CO Instagram",,,,,March 2022,House Cleaning,CO,Denver,80126,7203295301,,2022-03-17,Connection,2022-04-04,1,Unsuccessful,1,,,,
0.0593,Painter,00Q3q00001T70r5EAB,Faux Creations,,"1670 W. Carla Vista Drive, Chandler, AZ 
",,HomeAdvisor,Ruby Rachel de Castro,3/14/2022,Ruby Rachel de Castro,"www.google.com/search?q=Faux Creations in Phoenix, AZ",,false,,,,"www.google.com/search?q=Faux Creations in Phoenix, AZ site:angi.com",,,,,"www.google.com/search?q=Faux Creations in Phoenix, AZ site:homeadvisor.com",https://www.homeadvisor.com/sp/faux-creations,,,,"www.google.com/search?q=Faux Creations in Phoenix, AZ site:yelp.com",,,,,,"www.google.com/search?q=Faux Creations in Phoenix, AZ site:facebook.com",,,,,,,"www.google.com/search?q=Faux Creations Phoenix, AZ Instagram",https://www.instagram.com/fauxcreation/?hl=en,1003,,,March 2022,Interior Painting,AZ,Phoenix,85224,4808994846,,2022-03-18,Retired,2020-05-11,8,Retired,8,,,,389977575084269578
0.0886,HVAC Specialist,00Q3q00001ZwlAcEAJ,Jerico Mechanical,,3726 Marysville Blvd,,HomeAdvisor,Karla Bagalay,3/15/2022,Karla Bagalay,"www.google.com/search?q=Jerico Mechanical in Sacramento, CA",http://www.jericoenergy.com/index.htm,true,6,4.3,8.0,"www.google.com/search?q=Jerico Mechanical in Sacramento, CA site:angi.com",,,,,"www.google.com/search?q=Jerico Mechanical in Sacramento, CA site:homeadvisor.com",https://www.homeadvisor.com/sp/jerico-mechanical,13,4.45,2009-02-03,"www.google.com/search?q=Jerico Mechanical in Sacramento, CA site:yelp.com",https://www.yelp.com/biz/jerico-mechanical-sacramento,2,2,1.0,2018-07-03,"www.google.com/search?q=Jerico Mechanical in Sacramento, CA site:facebook.com",https://www.facebook.com/jerico.mechanical,,,,,25,"www.google.com/search?q=Jerico Mechanical Sacramento, CA Instagram",,,,,March 2022,Central Air Conditioning Installation or Replacement,CA,Sacramento,95838,9169250151,info@jericoenergy.com,2022-03-17,Attempt,2022-04-20,1,Unsuccessful,1,,,,
