"","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","FB_P","FB___of_Reviews","FB_Avg_Rating","FB_diff_week","FB_Page_Likes","FB_Page_Follows","IG_P","IG_Follows"
"1",FALSE,"Home Construction","Tile Installation and Replacement",FALSE,"Mid","Floor, Carpet, and Tile Specialist","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"2",FALSE,"Home Construction","Home Remodeling",FALSE,"High","General Contractor","Low",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"3",FALSE,"Home Construction","General Contracting",FALSE,"High","General Contractor","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,11,5,10.5714285714286,TRUE,1,1,84.4285714285714,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"4",FALSE,"Home Construction","General Contracting",FALSE,"Mid","General Contractor","High",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,1,5,137.142857142857,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"5",FALSE,"Home Construction","General Contracting",TRUE,"High","General Contractor","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,1,5,58.8571428571429,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,5,FALSE,NA
"6",FALSE,"Home Systems","Electrical and Wiring Repair",TRUE,"High","Electrician","Mid",TRUE,18,5,48,FALSE,NA,NA,NA,TRUE,8,4.8,122.285714285714,TRUE,15,4.5,80.1428571428571,27,TRUE,16,5,7.57142857142857,451,454,FALSE,NA
"7",FALSE,"Home Systems","Garage Door Repair",TRUE,"Low","Handyman","Mid",FALSE,NA,NA,NA,TRUE,22,4.8,235.142857142857,TRUE,NA,NA,NA,TRUE,3,3.5,162.571428571429,6,TRUE,NA,NA,NA,299,313,TRUE,211
"8",FALSE,"Home Maintenance","House Cleaning",FALSE,"High","Cleaner","Mid",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,26,5,67.1428571428571,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"9",FALSE,"Home Maintenance","Interior Painting",FALSE,"Mid","Painter","Low",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,1003
"10",FALSE,"Home Systems","Central Air Conditioning Installation or Replacement",TRUE,"High","HVAC Specialist","High",TRUE,6,4.3,32,FALSE,NA,NA,NA,TRUE,13,4.45,684.285714285714,TRUE,2,1,193.285714285714,2,TRUE,NA,NA,NA,NA,25,FALSE,NA
"11",FALSE,"Home Construction","General Contracting",FALSE,"Mid","General Contractor","High",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"12",FALSE,"Home Construction","General Contracting",TRUE,"Low","General Contractor","Mid",FALSE,NA,NA,NA,TRUE,1,5,481.428571428571,TRUE,1,5,584.142857142857,TRUE,1,1,159.428571428571,NA,TRUE,NA,NA,NA,NA,100,FALSE,NA
"13",FALSE,"Home Construction","Concrete Installation",FALSE,"Low","Paver","Low",TRUE,NA,NA,NA,TRUE,4,5,804.142857142857,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"14",FALSE,"Home Maintenance","House Cleaning",FALSE,"Mid","Cleaner","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"15",FALSE,"Home Construction","General Contracting",FALSE,"Low","General Contractor","Low",TRUE,3,5,4,TRUE,1,5,815,TRUE,1,5,815,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"16",FALSE,"Home Construction","General Contracting",FALSE,"Mid","General Contractor","Mid",TRUE,8,4.5,8,FALSE,NA,NA,NA,TRUE,4,5,72,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"17",FALSE,"Home Systems","Electrical and Wiring Repair",FALSE,"Mid","Electrician","High",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"18",FALSE,"Home Systems","Plumbing Drain Repair",FALSE,"High","Plumber","Low",TRUE,22,4.8,2,FALSE,NA,NA,NA,TRUE,84,4.9,26.5714285714286,TRUE,NA,NA,NA,NA,TRUE,11,5,74.4285714285714,NA,236,FALSE,NA
