"","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","FB_P","FB___of_Reviews","FB_Avg_Rating","FB_diff_week","FB_Page_Likes","FB_Page_Follows","IG_P","IG_Follows","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"1","FALSE","Home Construction","Tile Installation and Replacement",0,"Mid","Floor, Carpet, and Tile Specialist",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
"2","FALSE","Home Construction","Home Remodeling",0,"High","General Contractor",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0
"3","FALSE","Home Construction","General Contracting",0,"High","General Contractor",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,11,5,10.5714285714286,TRUE,1,1,84.4285714285714,0,FALSE,0,0,0,0,0,FALSE,0,12,6,95,2,6,3,47.5
"4","FALSE","Home Construction","General Contracting",0,"Mid","General Contractor",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,137.142857142857,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,1,5,137.142857142857,1,1,5,137.142857142857
"5","FALSE","Home Construction","General Contracting",1,"High","General Contractor",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,58.8571428571429,TRUE,0,0,0,0,FALSE,0,0,0,0,5,FALSE,0,1,5,58.8571428571429,2,0.5,2.5,29.4285714285714
"6","FALSE","Home Systems","Electrical and Wiring Repair",1,"High","Electrician",2,TRUE,18,5,48,FALSE,0,0,0,TRUE,8,4.8,122.285714285714,TRUE,15,4.5,80.1428571428571,27,TRUE,16,5,7.57142857142857,451,454,FALSE,0,57,19.3,258,4,14.25,4.825,64.4999999999999
"7","FALSE","Home Systems","Garage Door Repair",1,"Low","Handyman",2,FALSE,0,0,0,TRUE,22,4.8,235.142857142857,TRUE,0,0,0,TRUE,3,3.5,162.571428571429,6,FALSE,0,0,0,299,313,TRUE,211,25,8.3,397.714285714286,3,8.33333333333333,2.76666666666667,132.571428571429
"8","FALSE","Home Maintenance","House Cleaning",0,"High","Cleaner",2,TRUE,0,0,0,FALSE,0,0,0,TRUE,26,5,67.1428571428571,TRUE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,26,5,67.1428571428571,3,8.66666666666667,1.66666666666667,22.3809523809524
"9","FALSE","Home Maintenance","Interior Painting",0,"Mid","Painter",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,1003,0,0,0,1,0,0,0
"10","FALSE","Home Systems","Central Air Conditioning Installation or Replacement",1,"High","HVAC Specialist",3,TRUE,6,4.3,32,FALSE,0,0,0,TRUE,13,4.45,684.285714285714,TRUE,2,1,193.285714285714,2,FALSE,0,0,0,0,25,FALSE,0,21,9.75,909.571428571428,3,7,3.25,303.190476190476
"11","FALSE","Home Construction","General Contracting",0,"Mid","General Contractor",3,TRUE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0
"12","FALSE","Home Construction","General Contracting",1,"Low","General Contractor",2,FALSE,0,0,0,TRUE,1,5,481.428571428571,TRUE,1,5,584.142857142857,TRUE,1,1,159.428571428571,0,FALSE,0,0,0,0,100,FALSE,0,3,11,1225,3,1,3.66666666666667,408.333333333333
"13","FALSE","Home Construction","Concrete Installation",0,"Low","Paver",1,TRUE,0,0,0,TRUE,4,5,804.142857142857,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,4,5,804.142857142857,3,1.33333333333333,1.66666666666667,268.047619047619
"14","FALSE","Home Maintenance","House Cleaning",0,"Mid","Cleaner",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
"15","FALSE","Home Construction","General Contracting",0,"Low","General Contractor",1,TRUE,3,5,4,TRUE,1,5,815,TRUE,1,5,815,TRUE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,5,15,1634,4,1.25,3.75,408.5
"16","FALSE","Home Construction","General Contracting",0,"Mid","General Contractor",2,TRUE,8,4.5,8,FALSE,0,0,0,TRUE,4,5,72,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,12,9.5,80,2,6,4.75,40
"17","FALSE","Home Systems","Electrical and Wiring Repair",0,"Mid","Electrician",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
"18","FALSE","Home Systems","Plumbing Drain Repair",0,"High","Plumber",1,TRUE,22,4.8,2,FALSE,0,0,0,TRUE,84,4.9,26.5714285714286,TRUE,0,0,0,0,TRUE,11,5,74.4285714285714,0,236,FALSE,0,117,14.7,103,4,29.25,3.675,25.75
"19","FALSE","Home Construction","Concrete Installation",1,"Mid","Paver",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,2,5,46.4285714285714,FALSE,0,0,0,0,FALSE,0,0,0,585,588,FALSE,0,2,5,46.4285714285714,1,2,5,46.4285714285714
"20","FALSE","Home Maintenance","Carpet Cleaning",1,"High","Cleaner",1,TRUE,14,5,8,FALSE,0,0,0,TRUE,3,5,56.2857142857143,TRUE,0,0,0,4,TRUE,5,5,33.4285714285714,190,194,TRUE,31,22,15,97.7142857142857,4,5.5,3.75,24.4285714285714
"21","FALSE","Home Maintenance","Outdoor Landscaping and Design",0,"Mid","Landscaper",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,8,4.9,2.57142857142857,FALSE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,48,8,4.9,2.57142857142857,1,8,4.9,2.57142857142857
"22","FALSE","Home Construction","Deck or Porch Remodel or Addition",0,"Mid","Carpenter",2,TRUE,0,0,0,FALSE,0,0,0,TRUE,6,3.92,895.571428571429,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,6,3.92,895.571428571429,2,3,1.96,447.785714285715
"23","FALSE","Home Systems","Central Air Conditioning Installation or Replacement",0,"Mid","HVAC Specialist",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
"24","FALSE","Home Systems","Heating System Repair or Maintenance",0,"Low","HVAC Specialist",1,TRUE,0,0,0,TRUE,3,5,384.571428571429,TRUE,37,4.81,481.714285714286,TRUE,0,0,0,0,TRUE,2,3,0,134,142,FALSE,0,42,12.81,866.285714285715,5,8.4,2.562,173.257142857143
"25","FALSE","Home Maintenance","Weeding",0,"Mid","Landscaper",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,20.2857142857143,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,1,5,20.2857142857143,1,1,5,20.2857142857143
"26","FALSE","Home Maintenance","Weeding",1,"Mid","Landscaper",1,TRUE,0,0,0,FALSE,0,0,0,TRUE,1,5,16.1428571428571,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,1,5,16.1428571428571,2,0.5,2.5,8.07142857142855
"27","FALSE","Home Construction","Window Installation",0,"Mid","Handyman",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,0,FALSE,0,0,0,0,FALSE,0,0,0,127,127,FALSE,0,1,5,0,1,1,5,0
"28","FALSE","Home Maintenance","Junk Removal",1,"High","Mover",3,TRUE,29,4.9,12,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,19.5714285714286,0,FALSE,0,0,0,0,0,FALSE,0,30,9.9,31.5714285714286,2,15,4.95,15.7857142857143
"29","FALSE","Home Maintenance","House Cleaning",1,"Mid","Cleaner",2,TRUE,3,4.7,48,FALSE,0,0,0,TRUE,9,4.9,55.2857142857143,FALSE,0,0,0,0,TRUE,1,5,68.5714285714286,64,66,FALSE,0,13,14.6,171.857142857143,3,4.33333333333333,4.86666666666667,57.2857142857143
"30","FALSE","Home Maintenance","Gutter Cleaning and Maintenance",1,"High","Cleaner",3,TRUE,1,5,96,FALSE,0,0,0,TRUE,19,4.5,47.2857142857143,TRUE,1,1,47.2857142857143,0,FALSE,0,0,0,1,4,FALSE,0,21,10.5,190.571428571429,3,7,3.5,63.5238095238095
"31","FALSE","Home Construction","Architectural Services",1,"High","Engineer and Technical Designer",1,TRUE,1,5,192,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,232.428571428571,1,FALSE,0,0,0,0,0,FALSE,0,1,5,424.428571428571,3,0.333333333333333,1.66666666666667,141.47619047619
"32","TRUE","Home Construction","Countertop Installation",0,"Mid","Floor, Carpet, and Tile Specialist",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,9,4.9,17.8571428571429,FALSE,0,0,0,0,FALSE,0,0,0,119,0,FALSE,0,9,4.9,17.8571428571429,1,9,4.9,17.8571428571429
"33","FALSE","Home Systems","Heating System Repair or Maintenance",0,"Mid","HVAC Specialist",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
