"","Id","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","IG_P","IG_Follows","category_G","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"1","00Q3q00001Zv8JpEAJ","FALSE","Home Construction","Tile Installation and Replacement",0,2,"Floor, Carpet, and Tile Specialist",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Floor, Carpet, and Tile Specialist",0,0,0,1,0,0,0
"2","00Q3q00001ZwlN1EAJ","FALSE","Home Construction","Home Remodeling",0,3,"General Contractor",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,0,0,FALSE,0,"General Contractor",0,0,0,2,0,0,0
"3","00Q3q00001Zv8SIEAZ","FALSE","Home Construction","General Contracting",0,3,"General Contractor",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,11,5,10.5714285714286,TRUE,1,1,84.4285714285714,0,FALSE,0,"General Contractor",12,6,95,2,6,3,47.5
"4","00Q3q00001Zv87LEAR","FALSE","Home Construction","General Contracting",0,2,"General Contractor",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,137.142857142857,FALSE,0,0,0,0,FALSE,0,"General Contractor",1,5,137.142857142857,1,1,5,137.142857142857
"5","00Q3q00001Zv8SkEAJ","FALSE","Home Construction","General Contracting",1,3,"General Contractor",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,58.8571428571429,TRUE,0,0,0,0,FALSE,0,"General Contractor",1,5,58.8571428571429,2,0.5,2.5,29.4285714285714
"6","00Q3q00001Zv8EnEAJ","FALSE","Home Systems","Electrical and Wiring Repair",1,3,"Electrician",2,TRUE,18,5,48,FALSE,0,0,0,TRUE,8,4.8,122.285714285714,TRUE,15,4.5,80.1428571428571,27,FALSE,0,"Handyman/Electrician",41,14.3,250.428571428571,3,13.6666666666667,4.76666666666667,83.4761904761904
"7","00Q3q00001Zv8OjEAJ","FALSE","Home Systems","Garage Door Repair",1,1,"Handyman",2,FALSE,0,0,0,TRUE,22,4.8,235.142857142857,TRUE,0,0,0,TRUE,3,3.5,162.571428571429,6,TRUE,211,"Handyman/Electrician",25,8.3,397.714285714286,3,8.33333333333333,2.76666666666667,132.571428571429
"8","00Q3q00001Zwl5oEAB","FALSE","Home Maintenance","House Cleaning",0,3,"Cleaner",2,TRUE,0,0,0,FALSE,0,0,0,TRUE,26,5,67.1428571428571,TRUE,0,0,0,0,FALSE,0,"Cleaner",26,5,67.1428571428571,3,8.66666666666667,1.66666666666667,22.3809523809524
"9","00Q3q00001T70r5EAB","FALSE","Home Maintenance","Interior Painting",0,2,"Painter",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,TRUE,1003,"Painter",0,0,0,1,0,0,0
"10","00Q3q00001ZwlAcEAJ","FALSE","Home Systems","Central Air Conditioning Installation or Replacement",1,3,"HVAC Specialist",3,TRUE,6,4.3,32,FALSE,0,0,0,TRUE,13,4.45,684.285714285714,TRUE,2,1,193.285714285714,2,FALSE,0,"HVAC Specialist",21,9.75,909.571428571428,3,7,3.25,303.190476190476
"11","00Q3q00001ZevtOEAR","FALSE","Home Construction","General Contracting",0,2,"General Contractor",3,TRUE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"General Contractor",0,0,0,2,0,0,0
"12","00Q3q00001ZwkzIEAR","FALSE","Home Construction","General Contracting",1,1,"General Contractor",2,FALSE,0,0,0,TRUE,1,5,481.428571428571,TRUE,1,5,584.142857142857,TRUE,1,1,159.428571428571,0,FALSE,0,"General Contractor",3,11,1225,3,1,3.66666666666667,408.333333333333
"13","00Q3q00001Zv8EDEAZ","FALSE","Home Construction","Concrete Installation",0,1,"Paver",1,TRUE,0,0,0,TRUE,4,5,804.142857142857,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Paver",4,5,804.142857142857,3,1.33333333333333,1.66666666666667,268.047619047619
"14","00Q3q00001aNao0EAC","FALSE","Home Maintenance","House Cleaning",0,2,"Cleaner",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Cleaner",0,0,0,1,0,0,0
"15","00Q3q00001aNab1EAC","FALSE","Home Construction","General Contracting",0,1,"General Contractor",1,TRUE,3,5,4,TRUE,1,5,815,TRUE,1,5,815,TRUE,0,0,0,0,FALSE,0,"General Contractor",5,15,1634,4,1.25,3.75,408.5
"16","00Q3q00001aNb2mEAC","FALSE","Home Construction","General Contracting",0,2,"General Contractor",2,TRUE,8,4.5,8,FALSE,0,0,0,TRUE,4,5,72,FALSE,0,0,0,0,FALSE,0,"General Contractor",12,9.5,80,2,6,4.75,40
"17","00Q3q00001aNb8iEAC","FALSE","Home Systems","Electrical and Wiring Repair",0,2,"Electrician",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Handyman/Electrician",0,0,0,1,0,0,0
"18","00Q3q00001aNbGrEAK","FALSE","Home Systems","Plumbing Drain Repair",0,3,"Plumber",1,TRUE,22,4.8,2,FALSE,0,0,0,TRUE,84,4.9,26.5714285714286,TRUE,0,0,0,0,FALSE,0,"Plumber",106,9.7,28.5714285714286,3,35.3333333333333,3.23333333333333,9.52380952380953
"19","00Q3q00001aNaj2EAC","FALSE","Home Construction","Concrete Installation",1,2,"Paver",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,2,5,46.4285714285714,FALSE,0,0,0,0,FALSE,0,"Paver",2,5,46.4285714285714,1,2,5,46.4285714285714
